"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6285","verify product Header for MacBook Air","Google Chrome","2026-02-24","passed","2026-02-24","","3productinfo2.spec.ts","",""
"","20523","verify product search : samsung","Firefox","2026-03-01","failed","2026-03-01","","2search3.spec.ts","",""
"","9112","verify product Images Count for Samsung Galaxy Tab 10.1 : 7","Microsoft Edge","2026-02-24","passed","2026-02-24","","3productinfo2.spec.ts","",""
"","9800","verify product Header for MacBook Air","Microsoft Edge","2026-02-24","passed","2026-02-24","","3productinfo2.spec.ts","",""
"","32647","verify product search : imac","Firefox","2026-03-01","broken","2026-03-01","","2search3.spec.ts","",""
"","10189","verify product Header for MacBook Pro","Google Chrome","2026-02-24","passed","2026-02-24","","3productinfo2.spec.ts","",""
"","9998","verify valid login","Microsoft Edge","2026-02-24","passed","2026-02-24","","1loginpage2.spec.ts","",""
"","7398","verify Invalid login","Google Chrome","2026-02-24","failed","2026-02-24","","1loginpage2.spec.ts","",""
"","16555","verify product search : canon","Microsoft Edge","2026-03-01","passed","2026-03-01","","2search3.spec.ts","",""
"","9961","verify product Header for Samsung Galaxy Tab 10.1","Microsoft Edge","2026-02-24","passed","2026-02-24","","3productinfo2.spec.ts","",""
